dataset,model,method,lambda_,shap_type,group,feature,mean_abs_shap,normalised_share,is_sensitive,is_proxy,sample_n,random_state
oulad,LR,identity_preprocessing,0.0,global,all,age_band,0.08290653299716877,0.13432064564129423,False,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,num_of_prev_attempts,0.08677745287793093,0.1405920990336035,False,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,studied_credits,0.006891145464766633,0.01116465825518407,False,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,disability,0.009508086100256543,0.015404482826981657,False,False,500,42
oulad,LR,di_remover,0.3,global,all,code_module,0.007602278870230916,0.0495276364218395,False,False,500,42
oulad,LR,di_remover,0.3,global,all,code_presentation,0.017337121830473385,0.11294858834805421,False,False,500,42
oulad,LR,di_remover,0.3,global,all,gender,0.014268159153069572,0.09295478513809195,True,False,500,42
oulad,LR,di_remover,0.3,global,all,region,0.0011791276472378808,0.007681828883707199,False,False,500,42
oulad,LR,di_remover,0.3,global,all,highest_education,0.03375998356547563,0.21994091774054667,False,False,500,42
oulad,LR,di_remover,0.3,global,all,imd_band,0.02968661907630223,0.19340359664549925,False,False,500,42
oulad,LR,di_remover,0.3,global,all,age_band,0.021235585094429663,0.13834645580819113,False,False,500,42
